GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.01V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.02V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.02V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.02V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.02V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.01V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.01V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.01V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.09V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.05V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.10V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.07V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.08V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.08V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.10V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.08V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.07V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.06V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.05V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.01V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.01V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.02V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.05V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.05V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.08V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.07V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.09V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.08V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.07V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.06V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.05V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.05V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.05V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.05V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.05V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.04V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.03V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.01V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.01V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
GPIO 34 | Voltage: 0.00V | State: LOW   --> 🔵 ANCHORED TO GND (PERFECT!)
